SMILES,MF
[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Ca++].[Ca++],Al2Ca2O5
[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,Al2Ca6O18S3
[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Co++].[Co++],Al2Co2O5
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],Al2Mo2O9-12
[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Zn++].[Zn++],Al2O5Zn2
[Al+3].[O-]B([O-])[O-],AlBO3
[Al+3].[Cl-].[Cl-].[Cl-],AlCl3
[Al+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],AlCl7Ti
[F-].[F-].[F-].[Al+3],AlF3
[Li+].[Li+].[Li+].[F-].[F-].[F-].[F-].[F-].[F-].[Al+3],AlF6Li3
[F-].[F-].[F-].[F-].[F-].[F-].[Na+].[Na+].[Na+].[Al+3],AlF6Na3
[F-].[Al+3].[K+],AlFK+3
[Na+].[Mg++].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si]([O-])=O,AlMgNaO9Si3
[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,AlNaO6Si2
[Al+3].[O-][P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])([O-])=O,AlO10P3-2
[O--].[O--].[O--].[Al+3].[Y+3],AlO3Y
[Al+3].[O-][P]([O-])([O-])=O,AlO4P
[As],As
[O--].[O--].[O--].[As+3].[As+3],As2O3
[Au],Au
[B],B
[Ca++].[Ca++].[Ca++].[O-]B([O-])[O-].[O-]B([O-])[O-],B2Ca3O6
[Ba++].[O-][B][O-],BBaO2
[K+].F[B-](F)(F)F,BF4K
B#N,BN
O=[P]12OB(O1)O2,BO4P
[Ba++].[Ba++].[Ba++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,Ba3O8P2
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Ba++],BaFe12O19
[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,BaN2O6
[Ba++].[O-]P=O.[O-]P=O,BaO4P2
[Be],Be
[Be]=O,BeO
[O--].[O--].[O--].[Bi+3].[Bi+3],Bi2O3
[S--].[S--].[S--].[Bi+3].[Bi+3],Bi2S3
[O-][N+](=O)O[Bi](O[N+]([O-])=O)O[N+]([O-])=O,BiN3O9
[O--].[O--].[O--].[O--].[V].[Bi+3],BiO4V-5
[Br-],Br-
[Zn++].[Br-].[Br-],Br2Zn
[K+].[Br-],BrK
[Li+].[Br-],BrLi
[Na+].[Br-],BrNa
COc1cc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(C)cc4C)c(Cl)c3)C(C)=O)c(OC)cc1Cl.COc5cc(NC(=O)C(N=Nc6ccc(cc6Cl)c7ccc(N=NC(C(C)=O)C(=O)Nc8cc(OC)c(Cl)cc8OC)c(Cl)c7)C(C)=O)c(OC)cc5Cl.CC(=O)C(N=Nc9ccc(cc9Cl)c%10ccc(N=NC(C(C)=O)C(=O)Nc%11ccc(C)cc%11C)c(Cl)c%10)C(=O)Nc%12ccc(C)cc%12C,C108H99Cl9N18O18
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,C10Cl10
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,C10Cl10O
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,C10Cl12
Clc1c(Cl)c(Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,C10Cl8
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,C10F18
CCC(=O)OCc1ccc(Cl)cc1Cl,C10H10Cl2O2
COC(=O)C(Cl)Cc1ccc(Cl)cc1,C10H10Cl2O2
CCOC(=O)COc1ccc(Cl)cc1Cl,C10H10Cl2O3
OC(=O)CCCOC1=C(Cl)C=C(Cl)C=C1,C10H10Cl2O3
CO[P](=O)(OC)OC(=C\Cl)/c1ccc(Cl)cc1Cl,C10H10Cl3O4P
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,C10H10Cl6N4O2
Fc1ccc(cc1)C(=O)CCCCl,C10H10ClFO
N#CN=C1NCCN1CC1=CN=C(Cl)C=C1,C10H10ClN5
CC(=O)CC(=O)Nc1ccccc1Cl,C10H10ClNO2
CN(CCOC(=O)C=C)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H10F9NO4S
[K+].CC(=O)CC(=O)Nc1ccc(cc1)[S]([O-])(=O)=O,C10H10KNO5S
Nc1cccc2c(N)cccc12,C10H10N2
n1(Cc2ccccc2)cncc1,C10H10N2
Nc1cccc2cccc(N)c12,C10H10N2
CC1=NN(C(=O)C1)c2ccccc2,C10H10N2O
CC1NC(=O)C2=C(C=CC=C2)NC1=O,C10H10N2O2
OCCN1C(=O)Nc2ccccc2C1=O,C10H10N2O3
CC1=C(C#N)C(=O)N(CCC(O)=O)C(=C1)O,C10H10N2O4
